RelName, AttributeName, AttributeType, PrimaryFlag, RootBlock, Offset
RELATIONCAT, RelName, 1.000000 , -1.000000 , -1.000000 , 0.000000 
RELATIONCAT, #Attributes, 3.000000 , -1.000000 , -1.000000 , 1.000000 
RELATIONCAT, #Records, 3.000000 , -1.000000 , -1.000000 , 2.000000 
RELATIONCAT, FirstBlock, 3.000000 , -1.000000 , -1.000000 , 3.000000 
RELATIONCAT, LastBlock, 3.000000 , -1.000000 , -1.000000 , 4.000000 
RELATIONCAT, #Slots, 3.000000 , -1.000000 , -1.000000 , 5.000000 
ATTRIBUTECAT, RelName, 1.000000 , -1.000000 , -1.000000 , 0.000000 
ATTRIBUTECAT, AttributeName, 1.000000 , -1.000000 , -1.000000 , 1.000000 
ATTRIBUTECAT, AttributeType, 3.000000 , -1.000000 , -1.000000 , 2.000000 
ATTRIBUTECAT, PrimaryFlag, 3.000000 , -1.000000 , -1.000000 , 3.000000 
ATTRIBUTECAT, RootBlock, 3.000000 , -1.000000 , -1.000000 , 4.000000 
ATTRIBUTECAT, Offset, 3.000000 , -1.000000 , -1.000000 , 5.000000 
